Пользователь: matvej
  UID   PID TTY           TIME CMD
  501   480 ??         0:00.54 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/PlugIns/ACCFinderSync.appex/Contents/MacOS/ACCFinderSync -AppleLanguages ("ru-GE", "ka-GE")
  501   481 ??         0:32.29 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501   484 ??         0:34.25 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  501   485 ??         0:02.54 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
  501   486 ??         0:00.05 /usr/libexec/mobilerepaird
  501   488 ??         1:30.94 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   489 ??         0:04.79 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  501   490 ??         0:39.85 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501   492 ??         0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  501   493 ??         3:08.63 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   494 ??         0:00.77 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmltYWdlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
  501   495 ??         1:36.03 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  501   496 ??         0:00.15 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  501   497 ??         0:00.48 /Library/Application Support/Adobe/Adobe OS Extension/Creative Cloud.app/Contents/PlugIns/Adobe Context Menu Extension.appex/Contents/MacOS/Adobe Context Menu Extension -AppleLanguages ("ru-GE", "ka-GE")
  501   498 ??         0:08.03 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  501   500 ??         0:00.30 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
  501   501 ??         0:03.75 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
  501   502 ??         1:22.25 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  501   503 ??         0:01.62 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501   504 ??         0:00.57 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  501   505 ??         0:04.54 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  501   506 ??         0:00.21 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
  501   507 ??         0:00.04 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  501   508 ??         3:39.63 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  501   509 ??         0:00.17 /usr/libexec/diagnosticextensionsd
  501   510 ??         0:00.72 /usr/libexec/findmylocateagent
  501   511 ??         0:04.20 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  501   512 ??         0:16.66 /usr/libexec/transparencyd
  501   513 ??         0:04.59 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501   515 ??         0:20.12 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  501   516 ??         0:06.20 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   517 ??         0:08.13 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  501   519 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  501   521 ??         0:57.49 /usr/libexec/sharingd
  501   522 ??         0:04.12 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  501   523 ??         5:42.71 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   524 ??         1:06.85 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  501   525 ??         0:00.03 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  501   526 ??         0:00.05 /System/Library/CoreServices/ReportCrash agent
